Sp_name,Sci_name,Sp._grp,Sp_ISSCAAP,n,Year,SUM_tonnes,Binary,10yr_prod,L_inf_cm,K,,,
Atlantic ditch shrimp,Palaemonetes varians,CRUSTACEA,"Shrimps, prawns",11,2005,1.00,CBA,yes,3.70,2.80,,,
Atlantic ditch shrimp,Palaemonetes varians,CRUSTACEA,"Shrimps, prawns",11,2006,1.00,CBA,yes,3.70,2.80,,,
Atlantic ditch shrimp,Palaemonetes varians,CRUSTACEA,"Shrimps, prawns",11,2008,1.00,CBA,yes,3.70,2.80,,,
Atlantic ditch shrimp,Palaemonetes varians,CRUSTACEA,"Shrimps, prawns",11,2009,1.00,CBA,yes,3.70,2.80,,,
Atlantic ditch shrimp,Palaemonetes varians,CRUSTACEA,"Shrimps, prawns",11,2010,3.00,CBA,yes,3.70,2.80,,,
Atlantic ditch shrimp,Palaemonetes varians,CRUSTACEA,"Shrimps, prawns",11,2011,0.70,CBA,yes,3.70,2.80,,,
Atlantic ditch shrimp,Palaemonetes varians,CRUSTACEA,"Shrimps, prawns",11,2012,0.50,CBA,yes,3.70,2.80,,,§
Atlantic ditch shrimp,Palaemonetes varians,CRUSTACEA,"Shrimps, prawns",11,2013,5.24,CBA,yes,3.70,2.80,,,
Atlantic ditch shrimp,Palaemonetes varians,CRUSTACEA,"Shrimps, prawns",11,2014,8.07,CBA,yes,3.70,2.80,,,
Atlantic ditch shrimp,Palaemonetes varians,CRUSTACEA,"Shrimps, prawns",11,2015,22.85,CBA,yes,3.70,2.80,,,
Atlantic ditch shrimp,Palaemonetes varians,CRUSTACEA,"Shrimps, prawns",11,2016,22.68,CBA,yes,3.70,2.80,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1962,20.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1963,51.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1964,110.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1965,210.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1966,210.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1967,420.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1968,430.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1969,581.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1970,1623.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1971,2628.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1972,3585.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1973,3556.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1974,5692.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1975,4750.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1976,5626.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1977,11262.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1978,13409.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1979,13950.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1980,14918.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1981,19113.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1982,17696.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1983,17955.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1984,22219.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1985,26589.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1986,29806.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1987,32539.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1988,35470.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1989,36017.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1990,32823.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1991,33982.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1992,34980.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1993,40716.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1994,36281.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1995,44994.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1996,40773.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1997,42295.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1998,36573.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,1999,44213.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,2000,50393.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,2001,63313.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,2002,65391.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,2003,80187.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,2004,81715.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,2005,80613.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,2006,96633.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,2007,86186.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,2008,80268.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,2009,63629.70,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,2010,27094.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,2011,20722.90,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,2012,22088.02,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,2013,29568.03,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,2014,26066.65,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,2015,25626.00,DA,yes,24.00,1.68,,,
Banana prawn,Penaeus merguiensis,CRUSTACEA,"Shrimps, prawns",55,2016,24681.00,DA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1973,5.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1974,10.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1975,50.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1976,100.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1977,223.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1978,391.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1979,1010.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1980,1658.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1981,2327.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1982,3176.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1983,3941.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1984,4016.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1985,4408.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1986,5784.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1987,8437.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1988,8652.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1989,8201.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1990,8825.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1991,11231.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1992,11432.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1993,9886.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1994,10740.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1995,10675.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1996,11750.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1997,15866.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1998,17273.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,1999,13907.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,2000,1824.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,2001,1938.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,2002,1950.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,2003,1822.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,2004,2703.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,2005,2809.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,2006,2676.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,2007,2397.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,2008,2567.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,2009,2223.00,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,2010,1521.50,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,2011,1929.30,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,2012,2013.70,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,2013,2115.44,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,2014,2328.84,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,2015,2132.44,CBA,yes,24.00,1.68,,,
Blue shrimp,Penaeus stylirostris,CRUSTACEA,"Shrimps, prawns",44,2016,2401.78,CBA,yes,24.00,1.68,,,
Blue swimming crab,Portunus pelagicus,CRUSTACEA,"Crabs, sea-spiders",10,2005,3.00,CBA,yes,15.00,1.08,,,
Blue swimming crab,Portunus pelagicus,CRUSTACEA,"Crabs, sea-spiders",10,2008,33.00,CBA,yes,15.00,1.08,,,
Blue swimming crab,Portunus pelagicus,CRUSTACEA,"Crabs, sea-spiders",10,2009,20.00,CBA,yes,15.00,1.08,,,
Blue swimming crab,Portunus pelagicus,CRUSTACEA,"Crabs, sea-spiders",10,2010,25.82,CBA,yes,15.00,1.08,,,
Blue swimming crab,Portunus pelagicus,CRUSTACEA,"Crabs, sea-spiders",10,2011,31.84,CBA,yes,15.00,1.08,,,
Blue swimming crab,Portunus pelagicus,CRUSTACEA,"Crabs, sea-spiders",10,2012,19.50,CBA,yes,15.00,1.08,,,
Blue swimming crab,Portunus pelagicus,CRUSTACEA,"Crabs, sea-spiders",10,2013,27.64,CBA,yes,15.00,1.08,,,
Blue swimming crab,Portunus pelagicus,CRUSTACEA,"Crabs, sea-spiders",10,2014,41.33,CBA,yes,15.00,1.08,,,
Blue swimming crab,Portunus pelagicus,CRUSTACEA,"Crabs, sea-spiders",10,2015,30.26,CBA,yes,15.00,1.08,,,
Blue swimming crab,Portunus pelagicus,CRUSTACEA,"Crabs, sea-spiders",10,2016,29.17,CBA,yes,15.00,1.08,,,
Brine shrimp,Artemia salina,CRUSTACEA,Miscellaneous marine crustaceans,10,1989,1.00,CBA,yes,15.00,1.08,,,
Brine shrimp,Artemia salina,CRUSTACEA,Miscellaneous marine crustaceans,10,1991,3.00,CBA,yes,15.00,1.08,,,
Brine shrimp,Artemia salina,CRUSTACEA,Miscellaneous marine crustaceans,10,1992,4.00,CBA,yes,15.00,1.08,,,
Brine shrimp,Artemia salina,CRUSTACEA,Miscellaneous marine crustaceans,10,1993,4.00,CBA,yes,15.00,1.08,,,
Brine shrimp,Artemia salina,CRUSTACEA,Miscellaneous marine crustaceans,10,1994,4.00,CBA,yes,15.00,1.08,,,
Brine shrimp,Artemia salina,CRUSTACEA,Miscellaneous marine crustaceans,10,1995,4.00,CBA,yes,15.00,1.08,,,
Brine shrimp,Artemia salina,CRUSTACEA,Miscellaneous marine crustaceans,10,1996,4.00,CBA,yes,15.00,1.08,,,
Brine shrimp,Artemia salina,CRUSTACEA,Miscellaneous marine crustaceans,10,1997,5.00,CBA,yes,15.00,1.08,,,
Brine shrimp,Artemia salina,CRUSTACEA,Miscellaneous marine crustaceans,10,2000,1.00,CBA,yes,15.00,1.08,,,
Brine shrimp,Artemia salina,CRUSTACEA,Miscellaneous marine crustaceans,10,2001,1.00,CBA,yes,15.00,1.08,,,
Brown tiger prawn,Penaeus esculentus,CRUSTACEA,"Shrimps, prawns",4,1985,1.00,CBA,no,14.50,0.07,,,
Brown tiger prawn,Penaeus esculentus,CRUSTACEA,"Shrimps, prawns",4,1986,1.00,CBA,no,14.50,0.07,,,
Brown tiger prawn,Penaeus esculentus,CRUSTACEA,"Shrimps, prawns",4,1988,10.00,CBA,no,14.50,0.07,,,
Brown tiger prawn,Penaeus esculentus,CRUSTACEA,"Shrimps, prawns",4,1990,7.00,CBA,no,14.50,0.07,,,
Caramote prawn,Penaeus kerathurus,CRUSTACEA,"Shrimps, prawns",11,1985,1.00,CBA,yes,18.00,0.83,,,
Caramote prawn,Penaeus kerathurus,CRUSTACEA,"Shrimps, prawns",11,1986,1.00,CBA,yes,18.00,0.83,,,
Caramote prawn,Penaeus kerathurus,CRUSTACEA,"Shrimps, prawns",11,1987,2.00,CBA,yes,18.00,0.83,,,
Caramote prawn,Penaeus kerathurus,CRUSTACEA,"Shrimps, prawns",11,1988,2.00,CBA,yes,18.00,0.83,,,
Caramote prawn,Penaeus kerathurus,CRUSTACEA,"Shrimps, prawns",11,2010,0.48,CBA,yes,18.00,0.83,,,
Caramote prawn,Penaeus kerathurus,CRUSTACEA,"Shrimps, prawns",11,2011,0.51,CBA,yes,18.00,0.83,,,
Caramote prawn,Penaeus kerathurus,CRUSTACEA,"Shrimps, prawns",11,2012,0.10,CBA,yes,18.00,0.83,,,
Caramote prawn,Penaeus kerathurus,CRUSTACEA,"Shrimps, prawns",11,2013,0.20,CBA,yes,18.00,0.83,,,
Caramote prawn,Penaeus kerathurus,CRUSTACEA,"Shrimps, prawns",11,2014,0.60,CBA,yes,18.00,0.83,,,
Caramote prawn,Penaeus kerathurus,CRUSTACEA,"Shrimps, prawns",11,2015,1.02,CBA,yes,18.00,0.83,,,
Caramote prawn,Penaeus kerathurus,CRUSTACEA,"Shrimps, prawns",11,2016,0.11,CBA,yes,18.00,0.83,,,
Caribbean spiny lobster,Panulirus argus,CRUSTACEA,"Lobsters, spiny-rock lobsters",3,2014,8.35,CBA,no,18.45,0.45,,,
Caribbean spiny lobster,Panulirus argus,CRUSTACEA,"Lobsters, spiny-rock lobsters",3,2015,8.33,CBA,no,18.45,0.45,,,
Caribbean spiny lobster,Panulirus argus,CRUSTACEA,"Lobsters, spiny-rock lobsters",3,2016,8.00,CBA,no,18.45,0.45,,,
Eastern king prawn,Penaeus plebejus,CRUSTACEA,"Shrimps, prawns",3,1985,1.00,CBA,no,19.00,5.20,,,
Eastern king prawn,Penaeus plebejus,CRUSTACEA,"Shrimps, prawns",3,1986,4.00,CBA,no,19.00,5.20,,,
Eastern king prawn,Penaeus plebejus,CRUSTACEA,"Shrimps, prawns",3,1987,5.00,CBA,no,19.00,5.20,,,
Flathead lobster,Thenus orientalis,CRUSTACEA,"Lobsters, spiny-rock lobsters",16,1995,1.00,CBA,yes,30.60,0.15,,,
Flathead lobster,Thenus orientalis,CRUSTACEA,"Lobsters, spiny-rock lobsters",16,1996,3.00,CBA,yes,30.60,0.15,,,
Flathead lobster,Thenus orientalis,CRUSTACEA,"Lobsters, spiny-rock lobsters",16,1997,6.00,CBA,yes,30.60,0.15,,,
Flathead lobster,Thenus orientalis,CRUSTACEA,"Lobsters, spiny-rock lobsters",16,1998,2.00,CBA,yes,30.60,0.15,,,
Flathead lobster,Thenus orientalis,CRUSTACEA,"Lobsters, spiny-rock lobsters",16,1999,11.00,CBA,yes,30.60,0.15,,,
Flathead lobster,Thenus orientalis,CRUSTACEA,"Lobsters, spiny-rock lobsters",16,2000,12.00,CBA,yes,30.60,0.15,,,
Flathead lobster,Thenus orientalis,CRUSTACEA,"Lobsters, spiny-rock lobsters",16,2001,6.00,CBA,yes,30.60,0.15,,,
Flathead lobster,Thenus orientalis,CRUSTACEA,"Lobsters, spiny-rock lobsters",16,2002,3.00,CBA,yes,30.60,0.15,,,
Flathead lobster,Thenus orientalis,CRUSTACEA,"Lobsters, spiny-rock lobsters",16,2003,3.00,CBA,yes,30.60,0.15,,,
Flathead lobster,Thenus orientalis,CRUSTACEA,"Lobsters, spiny-rock lobsters",16,2004,5.00,CBA,yes,30.60,0.15,,,
Flathead lobster,Thenus orientalis,CRUSTACEA,"Lobsters, spiny-rock lobsters",16,2005,5.00,CBA,yes,30.60,0.15,,,
Flathead lobster,Thenus orientalis,CRUSTACEA,"Lobsters, spiny-rock lobsters",16,2006,4.00,CBA,yes,30.60,0.15,,,
Flathead lobster,Thenus orientalis,CRUSTACEA,"Lobsters, spiny-rock lobsters",16,2007,4.00,CBA,yes,30.60,0.15,,,
Flathead lobster,Thenus orientalis,CRUSTACEA,"Lobsters, spiny-rock lobsters",16,2008,4.00,CBA,yes,30.60,0.15,,,
Flathead lobster,Thenus orientalis,CRUSTACEA,"Lobsters, spiny-rock lobsters",16,2009,2.00,CBA,yes,30.60,0.15,,,
Flathead lobster,Thenus orientalis,CRUSTACEA,"Lobsters, spiny-rock lobsters",16,2010,2.00,CBA,yes,30.60,0.15,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1970,7.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1971,20.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1972,85.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1973,69.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1974,4.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1975,60.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1976,55.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1977,69.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1978,60.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1979,88.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1980,60.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1981,82.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1982,76.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1983,77.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1984,75.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1985,39.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1986,82.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1987,113.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1988,102.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1989,234.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1990,257.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1991,465.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1992,562.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1993,272.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1994,517.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1995,404.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1996,377.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1997,1533.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1998,846.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,1999,1142.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,2000,1158.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,2001,2081.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,2002,1403.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,2003,56326.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,2004,50006.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,2005,45048.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,2006,47183.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,2007,42720.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,2008,42682.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,2009,44469.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,2010,45339.00,DA,yes,15.40,1.71,,,
Fleshy prawn,Penaeus chinensis,CRUSTACEA,"Shrimps, prawns",47,2011,41662.00,DA,yes,15.40,1.71,,,
